PARAMETER：
IMG_HEIGHT =  345;
IMG_WIDTH =  400;
ITER = 10000;  // 随机取点次数
PLANE_OR_NOT =0.1;  // 判断是否为平面的分界线

-----------------------------
RESULT:
basePath = "/home/zhoujie/liveness detection/raw文件/face";
pretotal = 3126,_ary = 0.224730,203.raw不是人脸
pretotal = 3239,_ary = 0.237969,41.raw不是人脸
pretotal = 2133,_ary = 0.202295,127.raw不是人脸
pretotal = 5495,_ary = 0.305958,153.raw不是人脸
pretotal = 6496,_ary = 0.298955,81.raw不是人脸
pretotal = 5286,_ary = 0.319686,173.raw不是人脸
pretotal = 5304,_ary = 0.325319,90.raw不是人脸
pretotal = 3038,_ary = 0.224439,39.raw不是人脸
pretotal = 4287,_ary = 0.314665,134.raw不是人脸
pretotal = 5262,_ary = 0.319490,175.raw不是人脸
pretotal = 3033,_ary = 0.210173,40.raw不是人脸
pretotal = 3253,_ary = 0.243433,106.raw不是人脸
pretotal = 3911,_ary = 0.182382,21.raw不是人脸
pretotal = 5409,_ary = 0.286221,176.raw不是人脸
pretotal = 5740,_ary = 0.309584,163.raw不是人脸
pretotal = 5732,_ary = 0.328350,155.raw不是人脸
pretotal = 5646,_ary = 0.313684,168.raw不是人脸
pretotal = 7399,_ary = 0.326883,74.raw不是人脸
pretotal = 2977,_ary = 0.202793,199.raw不是人脸
pretotal = 6998,_ary = 0.324282,68.raw不是人脸
pretotal = 3005,_ary = 0.259679,130.raw不是人脸
pretotal = 5615,_ary = 0.314056,181.raw不是人脸
pretotal = 4319,_ary = 0.306356,135.raw不是人脸
pretotal = 5297,_ary = 0.316541,139.raw不是人脸
pretotal = 3064,_ary = 0.241736,57.raw不是人脸
pretotal = 7394,_ary = 0.375063,69.raw不是人脸
pretotal = 2302,_ary = 0.216761,117.raw不是人脸
pretotal = 5805,_ary = 0.326987,149.raw不是人脸
pretotal = 3507,_ary = 0.235369,208.raw不是人脸
pretotal = 7100,_ary = 0.334985,87.raw不是人脸
pretotal = 4072,_ary = 0.302189,100.raw不是人脸
pretotal = 7431,_ary = 0.352899,80.raw不是人脸
pretotal = 5397,_ary = 0.274670,146.raw不是人脸
pretotal = 4788,_ary = 0.350256,61.raw不是人脸
